plant_name,insect_name,interaction_type,source_db,n_obs,geo,year_range
Pectinoctenus pavlovskii,Allactaga sibirica,pollination,WebOfLife,1,,
Ophthalmopsylla kiritschenkovi,Dipus sagitta,pollination,WebOfLife,1,,
Ophthalmopsylla kiritschenkovi,Meriones meridianus,pollination,WebOfLife,1,,
Paradoxopsyllus kalabukhovi,Meriones meridianus,pollination,WebOfLife,1,,
Ctenophyllus hirticrus,Lasiopodomys brandtii,pollination,WebOfLife,1,,
Neopsylla galea,Lasiopodomys brandtii,pollination,WebOfLife,1,,
Amphipsylla primaris,Marmota sibirica,pollination,WebOfLife,1,,
Paradoxopsyllus dashidorzhii,Marmota sibirica,pollination,WebOfLife,1,,
Rhadinopsylla li,Marmota sibirica,pollination,WebOfLife,1,,
Amphipsylla longispina,Phodopus sungorus,pollination,WebOfLife,2,,
Amphipsylla primaris,Phodopus sungorus,pollination,WebOfLife,2,,
Neopsylla galea,Phodopus sungorus,pollination,WebOfLife,1,,
Rhadinopsylla dahurica,Phodopus sungorus,pollination,WebOfLife,1,,
Rhadinopsylla rothschildi,Phodopus sungorus,pollination,WebOfLife,1,,
Amphipsylla longispina,Allocricetulus curtatus,pollination,WebOfLife,1,,
Amphipsylla primaris,Allocricetulus curtatus,pollination,WebOfLife,1,,
Paradoxopsyllus dashidorzhii,Allocricetulus curtatus,pollination,WebOfLife,1,,
Pectinoctenus pavlovskii,Allocricetulus curtatus,pollination,WebOfLife,1,,
Amphalius runatus,Alticola semicanus,pollination,WebOfLife,1,,
Amphipsylla longispina,Alticola semicanus,pollination,WebOfLife,1,,
Amphipsylla primaris,Alticola semicanus,pollination,WebOfLife,1,,
Ctenophyllus hirticrus,Alticola semicanus,pollination,WebOfLife,1,,
Frontopsylla hetera,Alticola semicanus,pollination,WebOfLife,1,,
Neopsylla mana,Alticola semicanus,pollination,WebOfLife,1,,
Paradoxopsyllus dashidorzhii,Alticola semicanus,pollination,WebOfLife,1,,
Paramonopsyllus scalonae,Alticola semicanus,pollination,WebOfLife,1,,
