plant_name,insect_name,interaction_type,source_db,n_obs,geo,year_range
Daucus carota,Halictus tetrazonianellus,pollination,EuPPollNet,1,Greece,
Helichrysum stoechas,Mycterus curculioides,pollination,EuPPollNet,1,Greece,
Crepis commutata,Mylabris quadripunctata,pollination,EuPPollNet,18,Greece,
Cistus creticus,Mylabris quadripunctata,pollination,EuPPollNet,24,Greece,
Helichrysum stoechas,Merodon neonanus,pollination,EuPPollNet,4,Greece,
Helichrysum stoechas,Oedemera flavipes,pollination,EuPPollNet,16,Greece,
Cistus creticus,Oedemera flavipes,pollination,EuPPollNet,100,Greece,
Daucus carota,Acmaeoderella adspersula,pollination,EuPPollNet,2,Greece,
Stachys cretica,Anthophora socia,pollination,EuPPollNet,1,Greece,
Teucrium capitatum,Hylaeus lineolatus,pollination,EuPPollNet,1,Greece,
Daucus carota,Hylaeus lineolatus,pollination,EuPPollNet,14,Greece,
Daucus carota,Hylaeus taeniolatus,pollination,EuPPollNet,13,Greece,
Daucus carota,Hylaeus meridionalis,pollination,EuPPollNet,6,Greece,
Salvia viridis,Anthophora dalmatica,pollination,EuPPollNet,2,Greece,
Salvia fruticosa,Anthophora dalmatica,pollination,EuPPollNet,11,Greece,
Stachys cretica,Anthophora dalmatica,pollination,EuPPollNet,2,Greece,
Bituminaria bituminosa,Osmia moreensis,pollination,EuPPollNet,1,Greece,
Stachys cretica,Rhodanthidium septemdentatum,pollination,EuPPollNet,8,Greece,
Satureja thymbra,Rhodanthidium septemdentatum,pollination,EuPPollNet,31,Greece,
Helichrysum stoechas,Hylaeus punctatus,pollination,EuPPollNet,8,Greece,
Teucrium capitatum,Hylaeus punctatus,pollination,EuPPollNet,1,Greece,
Daucus carota,Hylaeus punctatus,pollination,EuPPollNet,35,Greece,
Cistus parviflorus,Eucera plumigera,pollination,EuPPollNet,1,Greece,
Hypochaeris achyrophorus,Andrena westensis,pollination,EuPPollNet,2,Greece,
Daucus carota,Eumerus basalis,pollination,EuPPollNet,17,Greece,
Helichrysum stoechas,Platypygus chrysanthemi,pollination,EuPPollNet,9,Greece,
Helichrysum stoechas,Maniola jurtina,pollination,EuPPollNet,20,Greece,
Cistus creticus,Maniola jurtina,pollination,EuPPollNet,1,Greece,
Satureja thymbra,Maniola jurtina,pollination,EuPPollNet,19,Greece,
Cistus parviflorus,Blitopertha lineolata,pollination,EuPPollNet,1,Greece,
Teucrium capitatum,Exoprosopa pandora,pollination,EuPPollNet,1,Greece,
Teucrium capitatum,Syritta pipiens,pollination,EuPPollNet,2,Greece,
Daucus carota,Syritta pipiens,pollination,EuPPollNet,37,Greece,
