plant,insect,group
"Ranunculus lingua","Orthonevra nobilis","Hoverfly"
"Ranunculus repens","Orthonevra nobilis","Hoverfly"
"Salix alba","Orthonevra nobilis","Hoverfly"
"Salix aurita","Orthonevra nobilis","Hoverfly"
"Salix caprea","Orthonevra nobilis","Hoverfly"
"Salix cinerea","Orthonevra nobilis","Hoverfly"
"Salix fragilis","Orthonevra nobilis","Hoverfly"
"Salix pentandra","Orthonevra nobilis","Hoverfly"
"Salix repens","Orthonevra nobilis","Hoverfly"
"Salix viminalis","Orthonevra nobilis","Hoverfly"
"Scorzoneroides autumnalis","Orthonevra nobilis","Hoverfly"
"Senecio jacobaea","Orthonevra nobilis","Hoverfly"
"Torilis japonica","Orthonevra nobilis","Hoverfly"
"Crataegus monogyna","Paragus haemorrhous","Hoverfly"
"Erica tetralix","Paragus haemorrhous","Hoverfly"
"Helianthemum nummularium","Paragus haemorrhous","Hoverfly"
"Hypochaeris radicata","Paragus haemorrhous","Hoverfly"
"Leontodon hispidus","Paragus haemorrhous","Hoverfly"
"Leontodon saxatilis","Paragus haemorrhous","Hoverfly"
"Matricaria discoidea","Paragus haemorrhous","Hoverfly"
"Matricaria recutita","Paragus haemorrhous","Hoverfly"
"Medicago lupulina","Paragus haemorrhous","Hoverfly"
"Medicago sativa","Paragus haemorrhous","Hoverfly"
"Pilosella officinarum","Paragus haemorrhous","Hoverfly"
"Potentilla erecta","Paragus haemorrhous","Hoverfly"
"Salix alba","Paragus haemorrhous","Hoverfly"
"Salix aurita","Paragus haemorrhous","Hoverfly"
"Salix caprea","Paragus haemorrhous","Hoverfly"
"Salix cinerea","Paragus haemorrhous","Hoverfly"
"Salix fragilis","Paragus haemorrhous","Hoverfly"
"Salix pentandra","Paragus haemorrhous","Hoverfly"
"Salix repens","Paragus haemorrhous","Hoverfly"
"Salix viminalis","Paragus haemorrhous","Hoverfly"
"Scorzoneroides autumnalis","Paragus haemorrhous","Hoverfly"
"Sedum acre","Paragus haemorrhous","Hoverfly"
"Sedum anglicum","Paragus haemorrhous","Hoverfly"
"Sedum rupestre","Paragus haemorrhous","Hoverfly"
"Sedum telephium","Paragus haemorrhous","Hoverfly"
"Senecio jacobaea","Paragus haemorrhous","Hoverfly"
"Solidago virgaurea","Paragus haemorrhous","Hoverfly"
"Taraxacum","Paragus haemorrhous","Hoverfly"
"Veronica chamaedrys","Paragus haemorrhous","Hoverfly"
"Ficaria verna","Parasyrphus annulatus","Hoverfly"
"Malus sylvestris","Parasyrphus annulatus","Hoverfly"
"Prunus laurocerasus","Parasyrphus annulatus","Hoverfly"
"Ajuga reptans","Parasyrphus lineola","Hoverfly"
"Caltha palustris","Parasyrphus lineola","Hoverfly"
"Cytisus scoparius","Parasyrphus lineola","Hoverfly"
"Equisetum telmateia","Parasyrphus lineola","Hoverfly"
"Mentha aquatica","Parasyrphus lineola","Hoverfly"
"Mentha arvensis","Parasyrphus lineola","Hoverfly"
"Mentha spicata","Parasyrphus lineola","Hoverfly"
"Mentha suaveolens","Parasyrphus lineola","Hoverfly"
"Stellaria graminea","Parasyrphus lineola","Hoverfly"
"Stellaria holostea","Parasyrphus lineola","Hoverfly"
"Stellaria media","Parasyrphus lineola","Hoverfly"
"Stellaria nemorum","Parasyrphus lineola","Hoverfly"
"Equisetum telmateia","Parasyrphus malinellus","Hoverfly"
"Prunus avium","Parasyrphus malinellus","Hoverfly"
"Rubus fruticosus","Parasyrphus malinellus","Hoverfly"
"Sinapis alba","Parasyrphus malinellus","Hoverfly"
"Sinapis arvensis","Parasyrphus malinellus","Hoverfly"
"Caltha palustris","Parasyrphus nigritarsis","Hoverfly"
"Salix alba","Parasyrphus nigritarsis","Hoverfly"
"Salix aurita","Parasyrphus nigritarsis","Hoverfly"
"Salix caprea","Parasyrphus nigritarsis","Hoverfly"
"Salix cinerea","Parasyrphus nigritarsis","Hoverfly"
"Salix fragilis","Parasyrphus nigritarsis","Hoverfly"
"Salix pentandra","Parasyrphus nigritarsis","Hoverfly"
"Salix repens","Parasyrphus nigritarsis","Hoverfly"
"Salix viminalis","Parasyrphus nigritarsis","Hoverfly"
"Taraxacum","Parasyrphus nigritarsis","Hoverfly"
"Alliaria petiolata","Parasyrphus punctulatus","Hoverfly"
"Allium ursinum","Parasyrphus punctulatus","Hoverfly"
"Anthriscus sylvestris","Parasyrphus punctulatus","Hoverfly"
"Caltha palustris","Parasyrphus punctulatus","Hoverfly"
"Crataegus monogyna","Parasyrphus punctulatus","Hoverfly"
"Ficaria verna","Parasyrphus punctulatus","Hoverfly"
"Laurus nobilis","Parasyrphus punctulatus","Hoverfly"
"Malus sylvestris","Parasyrphus punctulatus","Hoverfly"
"Mercurialis perennis","Parasyrphus punctulatus","Hoverfly"
"Prunus avium","Parasyrphus punctulatus","Hoverfly"
"Prunus cerasifera","Parasyrphus punctulatus","Hoverfly"
"Prunus cerasus","Parasyrphus punctulatus","Hoverfly"
"Prunus domestica","Parasyrphus punctulatus","Hoverfly"
"Prunus laurocerasus","Parasyrphus punctulatus","Hoverfly"
"Prunus padus","Parasyrphus punctulatus","Hoverfly"
"Prunus spinosa","Parasyrphus punctulatus","Hoverfly"
"Ranunculus acris","Parasyrphus punctulatus","Hoverfly"
"Ranunculus aquatilis","Parasyrphus punctulatus","Hoverfly"
"Ranunculus bulbosus","Parasyrphus punctulatus","Hoverfly"
"Ranunculus flammula","Parasyrphus punctulatus","Hoverfly"
"Ranunculus lingua","Parasyrphus punctulatus","Hoverfly"
"Ranunculus repens","Parasyrphus punctulatus","Hoverfly"
"Salix alba","Parasyrphus punctulatus","Hoverfly"
"Salix aurita","Parasyrphus punctulatus","Hoverfly"
"Salix caprea","Parasyrphus punctulatus","Hoverfly"
"Salix cinerea","Parasyrphus punctulatus","Hoverfly"
"Salix fragilis","Parasyrphus punctulatus","Hoverfly"
"Salix pentandra","Parasyrphus punctulatus","Hoverfly"
"Salix repens","Parasyrphus punctulatus","Hoverfly"
"Salix viminalis","Parasyrphus punctulatus","Hoverfly"
"Taraxacum","Parasyrphus punctulatus","Hoverfly"
"Allium ursinum","Parasyrphus vittiger","Hoverfly"
"Caltha palustris","Parasyrphus vittiger","Hoverfly"
"Equisetum telmateia","Parasyrphus vittiger","Hoverfly"
"Hyacinthoides non-scripta","Parasyrphus vittiger","Hoverfly"
"Prunus padus","Parasyrphus vittiger","Hoverfly"
"Mercurialis perennis","Parhelophilus consimilis","Hoverfly"
"Salix alba","Parhelophilus consimilis","Hoverfly"
"Salix aurita","Parhelophilus consimilis","Hoverfly"
"Salix caprea","Parhelophilus consimilis","Hoverfly"
"Salix cinerea","Parhelophilus consimilis","Hoverfly"
"Salix fragilis","Parhelophilus consimilis","Hoverfly"
"Salix pentandra","Parhelophilus consimilis","Hoverfly"
"Salix repens","Parhelophilus consimilis","Hoverfly"
"Salix viminalis","Parhelophilus consimilis","Hoverfly"
"Arctium minus","Parhelophilus frutetorum","Hoverfly"
"Oenanthe crocata","Parhelophilus frutetorum","Hoverfly"
"Rubus fruticosus","Parhelophilus frutetorum","Hoverfly"
"Rumex obtusifolius","Parhelophilus frutetorum","Hoverfly"
"Rumex sanguineus","Parhelophilus frutetorum","Hoverfly"
"Salix alba","Parhelophilus frutetorum","Hoverfly"
"Salix aurita","Parhelophilus frutetorum","Hoverfly"
"Salix caprea","Parhelophilus frutetorum","Hoverfly"
"Salix cinerea","Parhelophilus frutetorum","Hoverfly"
"Salix fragilis","Parhelophilus frutetorum","Hoverfly"
"Salix pentandra","Parhelophilus frutetorum","Hoverfly"
"Salix repens","Parhelophilus frutetorum","Hoverfly"
"Salix viminalis","Parhelophilus frutetorum","Hoverfly"
"Sambucus nigra","Parhelophilus frutetorum","Hoverfly"
"Torilis japonica","Parhelophilus frutetorum","Hoverfly"
"Anthriscus sylvestris","Parhelophilus versicolor","Hoverfly"
"Brassica oleracea","Parhelophilus versicolor","Hoverfly"
"Cirsium acaule","Parhelophilus versicolor","Hoverfly"
"Cirsium arvense","Parhelophilus versicolor","Hoverfly"
"Cirsium dissectum","Parhelophilus versicolor","Hoverfly"
"Cirsium eriophorum","Parhelophilus versicolor","Hoverfly"
"Cirsium heterophyllum","Parhelophilus versicolor","Hoverfly"
"Cirsium palustre","Parhelophilus versicolor","Hoverfly"
"Cirsium tuberosum","Parhelophilus versicolor","Hoverfly"
"Cirsium vulgare","Parhelophilus versicolor","Hoverfly"
"Convolvulus arvensis","Parhelophilus versicolor","Hoverfly"
"Ficaria verna","Parhelophilus versicolor","Hoverfly"
"Heracleum sphondylium","Parhelophilus versicolor","Hoverfly"
"Iris pseudacorus","Parhelophilus versicolor","Hoverfly"
"Oenanthe crocata","Parhelophilus versicolor","Hoverfly"
"Ranunculus acris","Parhelophilus versicolor","Hoverfly"
"Ranunculus aquatilis","Parhelophilus versicolor","Hoverfly"
"Ranunculus bulbosus","Parhelophilus versicolor","Hoverfly"
"Ranunculus flammula","Parhelophilus versicolor","Hoverfly"
"Ranunculus lingua","Parhelophilus versicolor","Hoverfly"
"Ranunculus repens","Parhelophilus versicolor","Hoverfly"
"Salix alba","Parhelophilus versicolor","Hoverfly"
"Salix aurita","Parhelophilus versicolor","Hoverfly"
"Salix caprea","Parhelophilus versicolor","Hoverfly"
"Salix cinerea","Parhelophilus versicolor","Hoverfly"
"Salix fragilis","Parhelophilus versicolor","Hoverfly"
"Salix pentandra","Parhelophilus versicolor","Hoverfly"
"Salix repens","Parhelophilus versicolor","Hoverfly"
"Salix viminalis","Parhelophilus versicolor","Hoverfly"
"Hypochaeris radicata","Pelecocera tricincta","Hoverfly"
"Leontodon hispidus","Pelecocera tricincta","Hoverfly"
"Leontodon saxatilis","Pelecocera tricincta","Hoverfly"
"Pulicaria dysenterica","Pelecocera tricincta","Hoverfly"
"Scorzoneroides autumnalis","Pelecocera tricincta","Hoverfly"
"Senecio jacobaea","Pelecocera tricincta","Hoverfly"
"Angelica sylvestris","Pipiza austriaca","Hoverfly"
"Crataegus monogyna","Pipiza austriaca","Hoverfly"
"Ficaria verna","Pipiza austriaca","Hoverfly"
"Heracleum sphondylium","Pipiza austriaca","Hoverfly"
"Prunus padus","Pipiza austriaca","Hoverfly"
"Pulicaria dysenterica","Pipiza austriaca","Hoverfly"
"Ranunculus acris","Pipiza austriaca","Hoverfly"
"Ranunculus aquatilis","Pipiza austriaca","Hoverfly"
"Ranunculus bulbosus","Pipiza austriaca","Hoverfly"
"Ranunculus flammula","Pipiza austriaca","Hoverfly"
"Ranunculus lingua","Pipiza austriaca","Hoverfly"
"Ranunculus repens","Pipiza austriaca","Hoverfly"
"Salix alba","Pipiza austriaca","Hoverfly"
"Salix aurita","Pipiza austriaca","Hoverfly"
"Salix caprea","Pipiza austriaca","Hoverfly"
"Salix cinerea","Pipiza austriaca","Hoverfly"
"Salix fragilis","Pipiza austriaca","Hoverfly"
"Salix pentandra","Pipiza austriaca","Hoverfly"
"Salix repens","Pipiza austriaca","Hoverfly"
"Salix viminalis","Pipiza austriaca","Hoverfly"
"Silene dioica","Pipiza austriaca","Hoverfly"
"Silene latifolia","Pipiza austriaca","Hoverfly"
"Silene uniflora","Pipiza austriaca","Hoverfly"
"Anthriscus sylvestris","Pipiza bimaculata","Hoverfly"
"Ribes nigrum","Pipiza bimaculata","Hoverfly"
"Angelica sylvestris","Pipiza fenestrata","Hoverfly"
"Ficaria verna","Pipiza fenestrata","Hoverfly"
"Ranunculus acris","Pipiza fenestrata","Hoverfly"
"Ranunculus aquatilis","Pipiza fenestrata","Hoverfly"
"Ranunculus bulbosus","Pipiza fenestrata","Hoverfly"
"Ranunculus flammula","Pipiza fenestrata","Hoverfly"
"Ranunculus lingua","Pipiza fenestrata","Hoverfly"
"Ranunculus repens","Pipiza fenestrata","Hoverfly"
"Angelica sylvestris","Pipiza lugubris","Hoverfly"
"Salix alba","Pipiza lugubris","Hoverfly"
"Salix aurita","Pipiza lugubris","Hoverfly"
"Salix caprea","Pipiza lugubris","Hoverfly"
"Salix cinerea","Pipiza lugubris","Hoverfly"
"Salix fragilis","Pipiza lugubris","Hoverfly"
"Salix pentandra","Pipiza lugubris","Hoverfly"
"Salix repens","Pipiza lugubris","Hoverfly"
"Salix viminalis","Pipiza lugubris","Hoverfly"
"Acer campestre","Pipiza luteitarsis","Hoverfly"
"Acer platanoides","Pipiza luteitarsis","Hoverfly"
"Acer pseudoplatanus","Pipiza luteitarsis","Hoverfly"
"Aesculus hippocastanum","Pipiza luteitarsis","Hoverfly"
"Ficaria verna","Pipiza luteitarsis","Hoverfly"
"Laurus nobilis","Pipiza luteitarsis","Hoverfly"
"Prunus avium","Pipiza luteitarsis","Hoverfly"
"Prunus cerasifera","Pipiza luteitarsis","Hoverfly"
"Prunus cerasus","Pipiza luteitarsis","Hoverfly"
"Prunus domestica","Pipiza luteitarsis","Hoverfly"
"Prunus laurocerasus","Pipiza luteitarsis","Hoverfly"
"Prunus padus","Pipiza luteitarsis","Hoverfly"
"Prunus spinosa","Pipiza luteitarsis","Hoverfly"
"Rhododendron ponticum","Pipiza luteitarsis","Hoverfly"
"Aesculus hippocastanum","Pipiza noctiluca","Hoverfly"
"Angelica sylvestris","Pipiza noctiluca","Hoverfly"
"Anthriscus sylvestris","Pipiza noctiluca","Hoverfly"
"Centaurium erythraea","Pipiza noctiluca","Hoverfly"
"Chamaecyparis lawsoniana","Pipiza noctiluca","Hoverfly"
"Comarum palustre","Pipiza noctiluca","Hoverfly"
"Euphorbia amygdaloides","Pipiza noctiluca","Hoverfly"
"Ficaria verna","Pipiza noctiluca","Hoverfly"
"Heracleum sphondylium","Pipiza noctiluca","Hoverfly"
"Laurus nobilis","Pipiza noctiluca","Hoverfly"
"Matricaria discoidea","Pipiza noctiluca","Hoverfly"
"Matricaria recutita","Pipiza noctiluca","Hoverfly"
"Mercurialis perennis","Pipiza noctiluca","Hoverfly"
"Pastinaca sativa","Pipiza noctiluca","Hoverfly"
"Potentilla anserina","Pipiza noctiluca","Hoverfly"
"Potentilla erecta","Pipiza noctiluca","Hoverfly"
"Potentilla fruticosa","Pipiza noctiluca","Hoverfly"
"Potentilla reptans","Pipiza noctiluca","Hoverfly"
"Ranunculus acris","Pipiza noctiluca","Hoverfly"
"Ranunculus aquatilis","Pipiza noctiluca","Hoverfly"
"Ranunculus bulbosus","Pipiza noctiluca","Hoverfly"
"Ranunculus flammula","Pipiza noctiluca","Hoverfly"
"Ranunculus lingua","Pipiza noctiluca","Hoverfly"
"Ranunculus repens","Pipiza noctiluca","Hoverfly"
"Salix alba","Pipiza noctiluca","Hoverfly"
"Salix aurita","Pipiza noctiluca","Hoverfly"
"Salix caprea","Pipiza noctiluca","Hoverfly"
"Salix cinerea","Pipiza noctiluca","Hoverfly"
"Salix fragilis","Pipiza noctiluca","Hoverfly"
"Salix pentandra","Pipiza noctiluca","Hoverfly"
"Salix repens","Pipiza noctiluca","Hoverfly"
"Salix viminalis","Pipiza noctiluca","Hoverfly"
"Senecio jacobaea","Pipiza noctiluca","Hoverfly"
"Stellaria holostea","Pipiza noctiluca","Hoverfly"
"Torilis japonica","Pipiza noctiluca","Hoverfly"
"Aegopodium podagraria","Pipizella viduata","Hoverfly"
"Aesculus hippocastanum","Pipizella viduata","Hoverfly"
"Angelica sylvestris","Pipizella viduata","Hoverfly"
"Anthriscus sylvestris","Pipizella viduata","Hoverfly"
"Crepis vesicaria","Pipizella viduata","Hoverfly"
"Daucus carota","Pipizella viduata","Hoverfly"
"Ficaria verna","Pipizella viduata","Hoverfly"
"Galium album","Pipizella viduata","Hoverfly"
"Galium aparine","Pipizella viduata","Hoverfly"
"Galium odoratum","Pipizella viduata","Hoverfly"
"Galium palustre","Pipizella viduata","Hoverfly"
"Galium saxatile","Pipizella viduata","Hoverfly"
"Galium verum","Pipizella viduata","Hoverfly"
"Helianthemum nummularium","Pipizella viduata","Hoverfly"
"Heracleum sphondylium","Pipizella viduata","Hoverfly"
"Leontodon hispidus","Pipizella viduata","Hoverfly"
"Leontodon saxatilis","Pipizella viduata","Hoverfly"
"Pastinaca sativa","Pipizella viduata","Hoverfly"
"Pimpinella saxifraga","Pipizella viduata","Hoverfly"
"Potentilla erecta","Pipizella viduata","Hoverfly"
"Potentilla reptans","Pipizella viduata","Hoverfly"
"Ranunculus acris","Pipizella viduata","Hoverfly"
"Ranunculus aquatilis","Pipizella viduata","Hoverfly"
"Ranunculus bulbosus","Pipizella viduata","Hoverfly"
"Ranunculus flammula","Pipizella viduata","Hoverfly"
"Ranunculus lingua","Pipizella viduata","Hoverfly"
"Ranunculus repens","Pipizella viduata","Hoverfly"
"Rubus fruticosus","Pipizella viduata","Hoverfly"
"Salix alba","Pipizella viduata","Hoverfly"
"Salix aurita","Pipizella viduata","Hoverfly"
"Salix caprea","Pipizella viduata","Hoverfly"
"Salix cinerea","Pipizella viduata","Hoverfly"
"Salix fragilis","Pipizella viduata","Hoverfly"
"Salix pentandra","Pipizella viduata","Hoverfly"
"Salix repens","Pipizella viduata","Hoverfly"
"Salix viminalis","Pipizella viduata","Hoverfly"
"Scorzoneroides autumnalis","Pipizella viduata","Hoverfly"
"Senecio jacobaea","Pipizella viduata","Hoverfly"
"Torilis japonica","Pipizella viduata","Hoverfly"
"Angelica sylvestris","Pipizella virens","Hoverfly"
"Centaurea cyanus","Pipizella virens","Hoverfly"
"Centaurea nigra","Pipizella virens","Hoverfly"
"Centaurea scabiosa","Pipizella virens","Hoverfly"
"Daucus carota","Pipizella virens","Hoverfly"
"Ficaria verna","Pipizella virens","Hoverfly"
"Heracleum sphondylium","Pipizella virens","Hoverfly"
"Ranunculus acris","Pipizella virens","Hoverfly"
"Ranunculus aquatilis","Pipizella virens","Hoverfly"
"Ranunculus bulbosus","Pipizella virens","Hoverfly"
"Ranunculus flammula","Pipizella virens","Hoverfly"
"Ranunculus lingua","Pipizella virens","Hoverfly"
"Ranunculus repens","Pipizella virens","Hoverfly"
"Rubus fruticosus","Pipizella virens","Hoverfly"
"Salix alba","Pipizella virens","Hoverfly"
"Salix aurita","Pipizella virens","Hoverfly"
"Salix caprea","Pipizella virens","Hoverfly"
"Salix cinerea","Pipizella virens","Hoverfly"
"Salix fragilis","Pipizella virens","Hoverfly"
"Salix pentandra","Pipizella virens","Hoverfly"
"Salix repens","Pipizella virens","Hoverfly"
"Salix viminalis","Pipizella virens","Hoverfly"
"Acer campestre","Platycheirus albimanus","Hoverfly"
"Acer platanoides","Platycheirus albimanus","Hoverfly"
"Acer pseudoplatanus","Platycheirus albimanus","Hoverfly"
"Aesculus hippocastanum","Platycheirus albimanus","Hoverfly"
"Ajuga reptans","Platycheirus albimanus","Hoverfly"
"Alisma plantago-aquatica","Platycheirus albimanus","Hoverfly"
"Alliaria petiolata","Platycheirus albimanus","Hoverfly"
"Allium schoenoprasum","Platycheirus albimanus","Hoverfly"
"Allium sphaerocephalon","Platycheirus albimanus","Hoverfly"
"Allium triquetrum","Platycheirus albimanus","Hoverfly"
"Allium ursinum","Platycheirus albimanus","Hoverfly"
"Anemone nemorosa","Platycheirus albimanus","Hoverfly"
"Angelica sylvestris","Platycheirus albimanus","Hoverfly"
"Anthriscus sylvestris","Platycheirus albimanus","Hoverfly"
"Arctium minus","Platycheirus albimanus","Hoverfly"
"Ballota nigra","Platycheirus albimanus","Hoverfly"
"Bartsia alpina","Platycheirus albimanus","Hoverfly"
"Bellis perennis","Platycheirus albimanus","Hoverfly"
"Bryonia dioica","Platycheirus albimanus","Hoverfly"
"Calluna vulgaris","Platycheirus albimanus","Hoverfly"
"Caltha palustris","Platycheirus albimanus","Hoverfly"
"Campanula glomerata","Platycheirus albimanus","Hoverfly"
"Campanula latifolia","Platycheirus albimanus","Hoverfly"
"Campanula persicifolia","Platycheirus albimanus","Hoverfly"
"Campanula rotundifolia","Platycheirus albimanus","Hoverfly"
"Campanula trachelium","Platycheirus albimanus","Hoverfly"
"Cardamine pratensis","Platycheirus albimanus","Hoverfly"
"Carduus crispus","Platycheirus albimanus","Hoverfly"
"Centaurea cyanus","Platycheirus albimanus","Hoverfly"
"Centaurea nigra","Platycheirus albimanus","Hoverfly"
"Centaurea scabiosa","Platycheirus albimanus","Hoverfly"
"Centranthus ruber","Platycheirus albimanus","Hoverfly"
"Chaerophyllum temulum","Platycheirus albimanus","Hoverfly"
"Chamaecyparis lawsoniana","Platycheirus albimanus","Hoverfly"
"Cirsium acaule","Platycheirus albimanus","Hoverfly"
"Cirsium arvense","Platycheirus albimanus","Hoverfly"
"Cirsium dissectum","Platycheirus albimanus","Hoverfly"
"Cirsium eriophorum","Platycheirus albimanus","Hoverfly"
"Cirsium heterophyllum","Platycheirus albimanus","Hoverfly"
"Cirsium palustre","Platycheirus albimanus","Hoverfly"
"Cirsium tuberosum","Platycheirus albimanus","Hoverfly"
"Cirsium vulgare","Platycheirus albimanus","Hoverfly"
"Cochlearia officinalis","Platycheirus albimanus","Hoverfly"
"Convolvulus arvensis","Platycheirus albimanus","Hoverfly"
"Crataegus monogyna","Platycheirus albimanus","Hoverfly"
"Cytisus scoparius","Platycheirus albimanus","Hoverfly"
"Digitalis purpurea","Platycheirus albimanus","Hoverfly"
"Epilobium tetragonum","Platycheirus albimanus","Hoverfly"
"Equisetum telmateia","Platycheirus albimanus","Hoverfly"
"Erica cinerea","Platycheirus albimanus","Hoverfly"
"Erica tetralix","Platycheirus albimanus","Hoverfly"
"Erica vagans","Platycheirus albimanus","Hoverfly"
"Euphorbia amygdaloides","Platycheirus albimanus","Hoverfly"
"Euphrasia nemorosa","Platycheirus albimanus","Hoverfly"
"Euphrasia officinalis","Platycheirus albimanus","Hoverfly"
"Ficaria verna","Platycheirus albimanus","Hoverfly"
"Geranium robertianum","Platycheirus albimanus","Hoverfly"
"Geum rivale","Platycheirus albimanus","Hoverfly"
"Glechoma hederacea","Platycheirus albimanus","Hoverfly"
"Hedera helix","Platycheirus albimanus","Hoverfly"
"Heracleum sphondylium","Platycheirus albimanus","Hoverfly"
"Hyacinthoides non-scripta","Platycheirus albimanus","Hoverfly"
"Hypochaeris radicata","Platycheirus albimanus","Hoverfly"
"Lamiastrum galeobdolon","Platycheirus albimanus","Hoverfly"
"Lamium album","Platycheirus albimanus","Hoverfly"
"Lamium maculatum","Platycheirus albimanus","Hoverfly"
"Lamium purpureum","Platycheirus albimanus","Hoverfly"
"Lapsana communis","Platycheirus albimanus","Hoverfly"
"Laurus nobilis","Platycheirus albimanus","Hoverfly"
"Leontodon hispidus","Platycheirus albimanus","Hoverfly"
"Leontodon saxatilis","Platycheirus albimanus","Hoverfly"
"Malus sylvestris","Platycheirus albimanus","Hoverfly"
"Malva sylvestris","Platycheirus albimanus","Hoverfly"
"Matricaria discoidea","Platycheirus albimanus","Hoverfly"
"Matricaria recutita","Platycheirus albimanus","Hoverfly"
"Medicago lupulina","Platycheirus albimanus","Hoverfly"
"Mentha aquatica","Platycheirus albimanus","Hoverfly"
"Mentha arvensis","Platycheirus albimanus","Hoverfly"
"Mentha spicata","Platycheirus albimanus","Hoverfly"
"Mentha suaveolens","Platycheirus albimanus","Hoverfly"
"Mercurialis perennis","Platycheirus albimanus","Hoverfly"
"Myosotis arvensis","Platycheirus albimanus","Hoverfly"
"Myosotis scorpioides","Platycheirus albimanus","Hoverfly"
"Myosoton aquaticum","Platycheirus albimanus","Hoverfly"
"Odontites vernus","Platycheirus albimanus","Hoverfly"
"Oenanthe crocata","Platycheirus albimanus","Hoverfly"
"Origanum vulgare","Platycheirus albimanus","Hoverfly"
"Pastinaca sativa","Platycheirus albimanus","Hoverfly"
"Pimpinella saxifraga","Platycheirus albimanus","Hoverfly"
"Plantago lanceolata","Platycheirus albimanus","Hoverfly"
"Potentilla erecta","Platycheirus albimanus","Hoverfly"
"Primula vulgaris","Platycheirus albimanus","Hoverfly"
"Prunella vulgaris","Platycheirus albimanus","Hoverfly"
"Prunus avium","Platycheirus albimanus","Hoverfly"
"Prunus cerasifera","Platycheirus albimanus","Hoverfly"
"Prunus cerasus","Platycheirus albimanus","Hoverfly"
"Prunus domestica","Platycheirus albimanus","Hoverfly"
"Prunus laurocerasus","Platycheirus albimanus","Hoverfly"
"Prunus padus","Platycheirus albimanus","Hoverfly"
"Prunus spinosa","Platycheirus albimanus","Hoverfly"
"Pulicaria dysenterica","Platycheirus albimanus","Hoverfly"
"Ranunculus acris","Platycheirus albimanus","Hoverfly"
"Ranunculus aquatilis","Platycheirus albimanus","Hoverfly"
"Ranunculus bulbosus","Platycheirus albimanus","Hoverfly"
"Ranunculus flammula","Platycheirus albimanus","Hoverfly"
"Ranunculus lingua","Platycheirus albimanus","Hoverfly"
"Ranunculus repens","Platycheirus albimanus","Hoverfly"
"Rubus fruticosus","Platycheirus albimanus","Hoverfly"
"Rubus idaeus","Platycheirus albimanus","Hoverfly"
"Rumex obtusifolius","Platycheirus albimanus","Hoverfly"
"Rumex sanguineus","Platycheirus albimanus","Hoverfly"
"Salix alba","Platycheirus albimanus","Hoverfly"
"Salix aurita","Platycheirus albimanus","Hoverfly"
"Salix caprea","Platycheirus albimanus","Hoverfly"
"Salix cinerea","Platycheirus albimanus","Hoverfly"
"Salix fragilis","Platycheirus albimanus","Hoverfly"
"Salix pentandra","Platycheirus albimanus","Hoverfly"
"Salix repens","Platycheirus albimanus","Hoverfly"
"Salix viminalis","Platycheirus albimanus","Hoverfly"
"Scorzoneroides autumnalis","Platycheirus albimanus","Hoverfly"
"Senecio aquaticus","Platycheirus albimanus","Hoverfly"
"Senecio cineraria","Platycheirus albimanus","Hoverfly"
"Senecio erucifolius","Platycheirus albimanus","Hoverfly"
"Senecio jacobaea","Platycheirus albimanus","Hoverfly"
"Senecio squalidus","Platycheirus albimanus","Hoverfly"
"Senecio vulgaris","Platycheirus albimanus","Hoverfly"
"Silene dioica","Platycheirus albimanus","Hoverfly"
"Silene latifolia","Platycheirus albimanus","Hoverfly"
"Silene uniflora","Platycheirus albimanus","Hoverfly"
"Sinapis alba","Platycheirus albimanus","Hoverfly"
"Sinapis arvensis","Platycheirus albimanus","Hoverfly"
"Sisymbrium officinale","Platycheirus albimanus","Hoverfly"
"Solidago virgaurea","Platycheirus albimanus","Hoverfly"
"Sonchus arvensis","Platycheirus albimanus","Hoverfly"
"Sonchus asper","Platycheirus albimanus","Hoverfly"
"Sonchus oleraceus","Platycheirus albimanus","Hoverfly"
"Sorbus aucuparia","Platycheirus albimanus","Hoverfly"
"Stachys alpina","Platycheirus albimanus","Hoverfly"
"Stachys officinalis","Platycheirus albimanus","Hoverfly"
"Stachys palustris","Platycheirus albimanus","Hoverfly"
"Stachys sylvatica","Platycheirus albimanus","Hoverfly"
"Stellaria graminea","Platycheirus albimanus","Hoverfly"
"Stellaria holostea","Platycheirus albimanus","Hoverfly"
"Stellaria media","Platycheirus albimanus","Hoverfly"
"Stellaria nemorum","Platycheirus albimanus","Hoverfly"
"Succisa pratensis","Platycheirus albimanus","Hoverfly"
"Taraxacum","Platycheirus albimanus","Hoverfly"
"Torilis japonica","Platycheirus albimanus","Hoverfly"
"Trifolium campestre","Platycheirus albimanus","Hoverfly"
"Trifolium dubium","Platycheirus albimanus","Hoverfly"
"Trifolium hybridum","Platycheirus albimanus","Hoverfly"
"Trifolium medium","Platycheirus albimanus","Hoverfly"
"Trifolium occidentale","Platycheirus albimanus","Hoverfly"
"Trifolium pratense","Platycheirus albimanus","Hoverfly"
"Trifolium repens","Platycheirus albimanus","Hoverfly"
"Tripleurospermum inodorum","Platycheirus albimanus","Hoverfly"
"Tussilago farfara","Platycheirus albimanus","Hoverfly"
"Veronica beccabunga","Platycheirus albimanus","Hoverfly"
"Veronica chamaedrys","Platycheirus albimanus","Hoverfly"
"Veronica officinalis","Platycheirus albimanus","Hoverfly"
