plant,insect,group
"Prunus spinosa","Andrena fulva","Bee"
"Salix alba","Andrena fulva","Bee"
"Salix aurita","Andrena fulva","Bee"
"Salix caprea","Andrena fulva","Bee"
"Salix cinerea","Andrena fulva","Bee"
"Salix fragilis","Andrena fulva","Bee"
"Salix pentandra","Andrena fulva","Bee"
"Salix repens","Andrena fulva","Bee"
"Salix viminalis","Andrena fulva","Bee"
"Smyrnium olusatrum","Andrena fulva","Bee"
"Taraxacum","Andrena fulva","Bee"
"Ulex europaeus","Andrena fulva","Bee"
"Vaccinium myrtillus","Andrena fulva","Bee"
"Vaccinium uliginosum","Andrena fulva","Bee"
